support,user,created_at
yes,AntoDiMario,2016-12-02T07:00
yes,AntonellaGramig,2016-12-02T11:00
no,civati,2016-12-01T18:00
yes,danieledvpd,2016-11-28T17:00
no,renatobrunetta,2016-11-30T14:00
yes,danieledvpd,2016-11-28T17:00
yes,SenatoriPD,2016-11-26T16:00
yes,PPBaretta,2016-11-30T10:00
no,iovotono,2016-12-02T07:00
yes,danieledvpd,2016-11-28T17:00
no,LegaNordPadania,2016-12-01T20:00
no,renatobrunetta,2016-12-02T09:00
no,LegaNordPadania,2016-11-28T09:00
no,riccardo_fra,2016-11-28T10:00
yes,CarloSantaroni,2016-11-30T22:00
no,lega_nord,2016-11-28T08:00
yes,szampa56,2016-12-01T18:00
yes,SenatoriPD,2016-11-30T18:00
yes,CarloSantaroni,2016-12-01T18:00
yes,lorenzabo,2016-11-28T10:00
yes,AnnaLeonardi1,2016-11-28T17:00
no,iovotono,2016-12-01T21:00
yes,Deputatipd,2016-11-30T15:00
yes,RaffaelePizzati,2016-11-29T13:00
no,iovotono,2016-11-28T08:00
no,matteosalvinimi,2016-12-02T15:00
no,r_formigoni,2016-11-29T01:00
no,Maxdero,2016-12-01T12:00
no,LelloEsposito5,2016-11-27T13:00
no,FratellidItaIia,2016-11-27T12:00
no,LelloEsposito5,2016-11-28T09:00
no,FratellidItaIia,2016-11-28T09:00
no,civati,2016-11-30T20:00
yes,fnicodemo,2016-11-29T12:00
yes,F_Boccia,2016-11-29T19:00
yes,danieledvpd,2016-11-28T19:00
yes,danielecina,2016-11-27T14:00
yes,antgentile,2016-11-27T13:00
yes,AndreaMarcucci,2016-11-28T15:00
yes,pdnetwork,2016-11-30T12:00
no,LelloEsposito5,2016-11-26T22:00
no,giulianocossari,2016-11-28T20:00
yes,MilaSpicola,2016-11-26T21:00
yes,AnnaLeonardi1,2016-12-01T16:00
no,giulianocossari,2016-11-28T20:00
yes,szampa56,2016-12-02T08:00
yes,Deputatipd,2016-12-01T12:00
yes,danieledvpd,2016-11-29T20:00
no,beppe_grillo,2016-11-28T10:00
no,LelloEsposito5,2016-11-28T09:00
no,GiuliaDiVita,2016-11-28T16:00
yes,RaffaelePizzati,2016-11-29T13:00
no,ale_dibattista,2016-12-01T14:00
no,gasparripdl,2016-11-27T23:00
no,lega_nord,2016-11-29T14:00
yes,pdnetwork,2016-11-29T11:00
yes,ErasmoDAngelis,2016-11-30T12:00
no,GruppoFICamera,2016-11-28T12:00
no,giulianocossari,2016-11-28T08:00
no,antonio_bordin,2016-11-30T21:00
no,LegaNordPadania,2016-11-30T20:00
no,IlMattinale,2016-11-27T12:00
yes,PPBaretta,2016-11-28T17:00
no,grotondi,2016-11-28T16:00
yes,pdcampania,2016-12-01T18:00
yes,StefanoCeccanti,2016-11-30T12:00
no,LelloEsposito5,2016-11-29T20:00
no,renatobrunetta,2016-11-27T15:00
yes,fnicodemo,2016-12-01T14:00
yes,pdnetwork,2016-11-29T21:00
yes,RaffaelePizzati,2016-11-29T13:00
no,lega_nord,2016-11-30T16:00
no,renatobrunetta,2016-11-27T12:00
yes,lucianonobili,2016-12-02T15:00
no,lega_nord,2016-11-30T16:00
no,renatobrunetta,2016-11-28T08:00
no,forza_italia,2016-12-02T09:00
yes,SteGiannini,2016-11-26T16:00
yes,danielecina,2016-11-27T12:00
yes,AnnaLeonardi1,2016-11-27T15:00
yes,antgentile,2016-11-26T21:00
yes,lorenzabo,2016-12-01T09:00
yes,fnicodemo,2016-12-01T21:00
no,lega_nord,2016-11-30T16:00
yes,robertapinotti,2016-11-30T12:00
yes,Deputatipd,2016-11-26T17:00
no,giacomos,2016-11-27T17:00
no,giulianocossari,2016-11-30T19:00
yes,SteAlbamonte,2016-12-01T07:00
no,ElioLannutti,2016-12-01T12:00
no,carlaruocco1,2016-11-30T18:00
no,GruppoFICamera,2016-11-28T10:00
yes,matteoricci,2016-11-29T13:00
no,LucioMalan,2016-12-02T15:00
yes,RaffaelePizzati,2016-11-29T13:00
no,gasparripdl,2016-12-02T12:00
no,forza_italia,2016-11-29T22:00
yes,ckyenge,2016-11-27T13:00
no,GruppoFICamera,2016-11-30T12:00
yes,SenatoriPD,2016-11-30T18:00
yes,MarcoMariani_IT,2016-12-02T14:00
no,IlMattinale,2016-11-27T12:00
yes,szampa56,2016-12-01T18:00
no,GruppoFICamera,2016-11-27T12:00
yes,pdcampania,2016-12-01T18:00
yes,valeriafedeli,2016-11-28T12:00
no,iovotono,2016-12-01T21:00
yes,AntonellaGramig,2016-11-29T16:00
yes,danieledvpd,2016-11-30T21:00
yes,danieledvpd,2016-11-28T19:00
yes,fabriziobarca,2016-11-28T20:00
no,LelloEsposito5,2016-11-29T12:00
no,renatobrunetta,2016-11-30T21:00
yes,lucianonobili,2016-11-28T17:00
yes,LiaQuartapelle,2016-12-01T12:00
yes,Ettore_Rosato,2016-11-30T11:00
yes,SenatoriPD,2016-11-26T16:00
yes,KhalidChaouki3,2016-12-02T14:00
yes,valeriafedeli,2016-11-28T10:00
yes,AntoDiMario,2016-11-30T10:00
yes,MarcoMariani_IT,2016-12-02T14:00
no,LelloEsposito5,2016-11-28T15:00
no,LelloEsposito5,2016-11-26T22:00
no,carlaruocco1,2016-12-01T12:00
no,social_5stars,2016-11-30T18:00
no,giulianocossari,2016-11-28T08:00
no,lega_nord,2016-11-28T08:00
no,iovotono,2016-11-27T15:00
yes,pdcampania,2016-12-01T18:00
no,LelloEsposito5,2016-11-28T15:00
no,iovotono,2016-12-01T17:00
yes,Deputatipd,2016-12-01T12:00
no,LelloEsposito5,2016-11-27T12:00
yes,antgentile,2016-12-01T14:00
yes,AnnaAscani,2016-11-30T14:00
no,mariaederaM5S,2016-12-01T18:00
yes,danieledvpd,2016-11-27T14:00
no,social_5stars,2016-11-28T23:00
yes,AndreaOlivero,2016-11-29T16:00
no,renatapolverini,2016-11-28T17:00
yes,Deputatipd,2016-12-02T15:00
yes,rossipresidente,2016-11-30T21:00
yes,CarloSantaroni,2016-11-28T23:00
no,LegaNordPadania,2016-11-30T10:00
no,LelloEsposito5,2016-11-29T12:00
yes,danielecina,2016-11-29T14:00
no,lega_nord,2016-12-02T15:00
yes,nzingaretti,2016-11-29T16:00
yes,AnnaAscani,2016-11-30T15:00
no,GiuliaGrilloM5S,2016-11-30T19:00
yes,DarioNardella,2016-11-26T16:00
no,social_5stars,2016-12-01T12:00
yes,antgentile,2016-11-28T09:00
no,PossibileIt,2016-11-28T15:00
no,forza_italia,2016-11-29T22:00
no,LelloEsposito5,2016-11-28T09:00
yes,AntoDiMario,2016-11-30T10:00
yes,SenatoriPD,2016-11-26T16:00
yes,AntonellaGramig,2016-11-29T22:00
no,LelloEsposito5,2016-11-27T13:00
no,LegaNordPadania,2016-11-28T17:00
no,antonio_bordin,2016-12-02T06:00
no,gasparripdl,2016-11-26T16:00
no,lega_nord,2016-11-28T20:00
yes,bendellavedova,2016-11-29T23:00
yes,ckyenge,2016-12-01T18:00
yes,danieledvpd,2016-11-26T23:00
yes,SenatoriPD,2016-11-28T15:00
no,lega_nord,2016-12-01T17:00
no,RobertoMaroni_,2016-11-28T21:00
yes,ivanscalfarotto,2016-12-01T12:00
no,PatriziaTerzoni,2016-12-02T15:00
no,beppe_grillo,2016-11-28T15:00
no,gianfranco_fini,2016-11-29T17:00
yes,dariofrance,2016-11-28T13:00
no,renatobrunetta,2016-11-27T15:00
yes,szampa56,2016-12-02T08:00
yes,AnnaLeonardi1,2016-11-30T20:00
no,forza_italia,2016-11-29T22:00
no,FrancoFrattini,2016-11-30T12:00
no,lucatelese,2016-11-29T22:00
yes,rosariocrocetta,2016-11-28T17:00
no,civati,2016-11-30T14:00
no,senantoniorazzi,2016-11-27T23:00
yes,SenatoriPD,2016-11-26T16:00
no,ManlioDS,2016-11-29T13:00
no,giulianocossari,2016-11-30T20:00
yes,danieledvpd,2016-11-26T16:00
no,FratellidItaIia,2016-11-27T12:00
no,LelloEsposito5,2016-11-29T20:00
yes,fnicodemo,2016-11-28T12:00
no,LelloEsposito5,2016-11-29T12:00
yes,SenatoriPD,2016-12-01T18:00
yes,AntonellaGramig,2016-11-29T21:00
no,lega_nord,2016-12-01T12:00
no,LegaNordPadania,2016-12-01T20:00
no,CorradinoMineo,2016-11-27T12:00
yes,MarcoMariani_IT,2016-11-30T08:00
yes,danielecina,2016-11-28T20:00
no,IlMattinale,2016-12-01T12:00
no,LegaNordPadania,2016-12-02T15:00
yes,MilaSpicola,2016-11-28T17:00
no,GruppoFICamera,2016-12-01T12:00
no,gasparripdl,2016-11-26T16:00
yes,erealacci,2016-11-27T10:00
no,LelloEsposito5,2016-11-29T20:00
yes,danieledvpd,2016-11-29T21:00
no,LelloEsposito5,2016-11-28T08:00
yes,danieledvpd,2016-11-30T20:00
yes,pdnetwork,2016-11-29T11:00
no,renatobrunetta,2016-12-01T12:00
yes,serracchiani,2016-11-28T19:00
no,lega_nord,2016-12-01T17:00
no,LelloEsposito5,2016-11-26T22:00
yes,Deputatipd,2016-11-30T11:00
no,senantoniorazzi,2016-12-02T15:00
no,renatobrunetta,2016-11-29T13:00
yes,danieledvpd,2016-11-28T19:00
no,PossibileIt,2016-11-27T11:00
no,Capezzone,2016-11-27T23:00
yes,AnnaLeonardi1,2016-12-02T00:00
no,civati,2016-11-30T20:00
no,lega_nord,2016-12-01T17:00
yes,MarcoMariani_IT,2016-11-28T17:00
yes,MarcoMariani_IT,2016-11-27T23:00
yes,Barracciu,2016-12-01T21:00
yes,SenatoriPD,2016-11-26T16:00
no,renatobrunetta,2016-12-02T15:00
yes,ckyenge,2016-12-01T20:00
yes,fnicodemo,2016-11-28T18:00
yes,AntoDiMario,2016-12-02T08:00
no,iovotono,2016-12-01T20:00
no,renatobrunetta,2016-11-30T12:00
no,senantoniorazzi,2016-11-27T23:00
yes,matteoricci,2016-11-29T13:00
no,AlemannoTW,2016-12-01T23:00
yes,serracchiani,2016-11-29T22:00
yes,RaffaelePizzati,2016-11-29T13:00
yes,sandrogozi,2016-11-30T12:00
no,LelloEsposito5,2016-11-28T10:00
no,LelloEsposito5,2016-11-29T20:00
no,LelloEsposito5,2016-11-29T12:00
yes,pdcampania,2016-12-01T18:00
yes,danieledvpd,2016-11-29T16:00
yes,CarloSantaroni,2016-11-26T18:00
no,civati,2016-12-02T09:00
yes,MarinaSereni,2016-12-02T15:00
no,grotondi,2016-11-28T23:00
no,ElioLannutti,2016-11-27T15:00
no,renatobrunetta,2016-11-30T21:00
yes,fnicodemo,2016-11-28T00:00
yes,szampa56,2016-12-02T08:00
yes,fnicodemo,2016-11-30T19:00
yes,AntoDiMario,2016-11-30T16:00
yes,StefanoCeccanti,2016-11-30T12:00
yes,CarloSantaroni,2016-11-27T16:00
no,giulianocossari,2016-11-28T20:00
no,RobertoMaroni_,2016-11-28T21:00
yes,Deputatipd,2016-11-27T15:00
yes,LiaQuartapelle,2016-11-28T08:00
no,gianfranco_fini,2016-11-30T12:00
yes,MarcoMariani_IT,2016-12-01T14:00
yes,SenatoriPD,2016-11-26T16:00
yes,antgentile,2016-11-28T08:00
no,renatobrunetta,2016-11-27T15:00
no,LelloEsposito5,2016-11-28T15:00
no,iovotono,2016-12-01T21:00
no,mirellaliuzzi,2016-11-28T12:00
yes,LauraPuppato,2016-12-01T17:00
no,LegaNordPadania,2016-12-02T09:00
no,giamma71,2016-11-30T13:00
no,giulianocossari,2016-11-27T17:00
no,giulianocossari,2016-11-30T11:00
yes,Deputatipd,2016-12-02T15:00
yes,CarloSantaroni,2016-11-30T00:00
yes,pdcampania,2016-12-01T18:00
no,lega_nord,2016-11-28T10:00
yes,giannipittella,2016-11-28T09:00
no,giulianocossari,2016-12-01T22:00
yes,ckyenge,2016-12-01T18:00
no,iovotono,2016-11-28T08:00
no,iovotono,2016-12-01T17:00
yes,fnicodemo,2016-12-01T18:00
no,Ale_Mussolini_,2016-12-01T21:00
yes,CarloSantaroni,2016-11-28T21:00
no,renatobrunetta,2016-11-30T14:00
no,renatobrunetta,2016-11-27T11:00
no,antonio_bordin,2016-12-02T06:00
no,iovotono,2016-11-26T23:00
no,carlaruocco1,2016-12-02T14:00
no,M_Fedriga,2016-12-01T07:00
yes,danielecina,2016-11-28T10:00
yes,MilaSpicola,2016-11-30T23:00
no,GruppoFICamera,2016-11-30T15:00
no,renatobrunetta,2016-11-27T15:00
no,FrancBusinarolo,2016-12-01T12:00
no,LelloEsposito5,2016-11-26T22:00
no,renatobrunetta,2016-11-30T15:00
no,FratellidItaIia,2016-11-28T09:00
yes,antgentile,2016-11-28T00:00
yes,Deputatipd,2016-11-26T16:00
no,lega_nord,2016-12-01T18:00
yes,DarioParrini,2016-11-28T20:00
no,renatapolverini,2016-11-28T17:00
yes,CarloSantaroni,2016-11-28T17:00
no,senantoniorazzi,2016-11-30T12:00
no,LegaNordPadania,2016-12-01T12:00
yes,AntoDiMario,2016-12-02T08:00
yes,SenatoriPD,2016-11-26T16:00
no,LelloEsposito5,2016-11-29T20:00
no,IlMattinale,2016-11-30T18:00
no,lega_nord,2016-12-01T18:00
no,riccardo_fra,2016-11-28T15:00
yes,SenatoriPD,2016-11-26T16:00
no,GabriGiammanco,2016-11-30T15:00
no,antonio_bordin,2016-12-02T06:00
yes,pdcampania,2016-12-01T18:00
yes,MarcoMariani_IT,2016-12-01T09:00
yes,antgentile,2016-12-01T21:00
no,grotondi,2016-11-28T16:00
yes,ale_moretti,2016-11-29T19:00
no,IlMattinale,2016-11-27T12:00
no,GruppoFICamera,2016-11-27T12:00
yes,Deputatipd,2016-12-02T09:00
yes,MarcoMariani_IT,2016-12-01T21:00
no,LelloEsposito5,2016-11-29T12:00
yes,danieledvpd,2016-11-28T20:00
yes,ivanscalfarotto,2016-11-26T15:00
yes,AnnaLeonardi1,2016-11-30T11:00
yes,GioMelandri,2016-11-29T19:00
yes,F_Boccia,2016-11-30T15:00
no,micheleemiliano,2016-12-01T08:00
no,LelloEsposito5,2016-11-29T20:00
no,GruppoFICamera,2016-11-28T10:00
no,renatobrunetta,2016-11-28T08:00
no,Storace,2016-11-27T21:00
no,LegaNordPadania,2016-11-30T17:00
yes,danieledvpd,2016-11-26T15:00
no,LelloEsposito5,2016-11-29T12:00
no,FratellidItaIia,2016-11-27T12:00
no,ElioLannutti,2016-11-27T23:00
yes,SenatoriPD,2016-11-26T16:00
no,iovotono,2016-12-02T08:00
yes,danielecina,2016-11-26T21:00
no,MirkoBusto,2016-11-27T17:00
no,civati,2016-11-30T11:00
no,renatobrunetta,2016-12-01T14:00
yes,bendellavedova,2016-11-29T19:00
yes,AndreaRomano9,2016-11-30T08:00
no,GruppoFICamera,2016-12-02T09:00
no,iovotono,2016-12-01T21:00
no,civati,2016-11-28T15:00
no,giulianocossari,2016-12-01T22:00
no,IlMattinale,2016-11-30T15:00
yes,laura_coccia,2016-12-01T12:00
no,iovotono,2016-11-28T08:00
no,LelloEsposito5,2016-11-28T08:00
no,RobertoMaroni_,2016-11-29T12:00
yes,StefanoCeccanti,2016-11-30T21:00
no,gasparripdl,2016-12-01T09:00
yes,danieledvpd,2016-11-26T15:00
no,carlaruocco1,2016-11-30T18:00
no,antonio_bordin,2016-11-27T20:00
no,M_Fedriga,2016-12-01T09:00
yes,danieledvpd,2016-11-29T16:00
no,renatapolverini,2016-12-01T18:00
no,renatobrunetta,2016-12-02T15:00
no,LeolucaOrlando1,2016-11-30T19:00
no,Ale_Mussolini_,2016-12-01T21:00
no,iovotono,2016-12-01T21:00
no,mirellaliuzzi,2016-11-28T18:00
no,F_DUva,2016-11-26T16:00
yes,fnicodemo,2016-11-29T21:00
no,forza_italia,2016-12-02T11:00
no,LelloEsposito5,2016-11-26T22:00
yes,matteoricci,2016-11-27T15:00
yes,AnnaLeonardi1,2016-11-30T11:00
no,MirkoBusto,2016-11-30T16:00
no,iovotono,2016-12-01T21:00
yes,RaffaelePizzati,2016-11-29T13:00
no,GiuliaDiVita,2016-12-02T11:00
no,gasparripdl,2016-11-28T18:00
no,forza_italia,2016-11-29T22:00
yes,MarcoMariani_IT,2016-11-28T21:00
no,iovotono,2016-11-30T21:00
no,antonio_bordin,2016-11-27T16:00
no,gianfranco_fini,2016-11-29T17:00
no,forza_italia,2016-12-02T09:00
yes,MarcoMariani_IT,2016-12-02T11:00
yes,SenatoriPD,2016-12-01T18:00
no,gasparripdl,2016-11-27T23:00
no,giulianocossari,2016-12-01T14:00
no,giulianocossari,2016-12-02T08:00
yes,SenatoriPD,2016-11-26T16:00
no,civati,2016-11-30T16:00
no,renatobrunetta,2016-12-01T18:00
yes,danieledvpd,2016-11-28T19:00
yes,matteoricci,2016-11-29T13:00
no,cla_cominardi,2016-11-27T15:00
no,forza_italia,2016-12-02T11:00
no,ElioLannutti,2016-12-01T12:00
yes,SenatoriPD,2016-11-30T15:00
no,LelloEsposito5,2016-11-27T20:00
no,LelloEsposito5,2016-11-27T13:00
yes,enzabrunobossio,2016-11-28T19:00
no,giulianocossari,2016-11-29T16:00
no,giulianocossari,2016-12-01T14:00
yes,RaffaelePizzati,2016-11-29T13:00
no,lega_nord,2016-11-30T17:00
no,lega_nord,2016-11-30T17:00
yes,LiaQuartapelle,2016-11-28T19:00
yes,pdcampania,2016-12-01T18:00
no,antonio_bordin,2016-12-02T06:00
no,lucatelese,2016-12-01T12:00
yes,danieledvpd,2016-11-26T15:00
yes,flavagno,2016-11-30T00:00
yes,PaoloGentiloni,2016-11-28T10:00
no,civati,2016-11-28T19:00
no,LegaNordPadania,2016-11-30T17:00
no,LelloEsposito5,2016-11-29T20:00
yes,SenatoriPD,2016-12-01T18:00
no,forza_italia,2016-11-29T22:00
no,LelloEsposito5,2016-11-29T20:00
no,LelloEsposito5,2016-11-26T22:00
yes,danielecina,2016-11-28T00:00
no,RobertoMaroni_,2016-11-30T20:00
yes,SenatoriPD,2016-12-02T11:00
no,giamma71,2016-11-29T06:00
yes,danieledvpd,2016-11-28T19:00
no,LelloEsposito5,2016-11-28T13:00
no,giulianocossari,2016-11-30T20:00
yes,AnnaLeonardi1,2016-11-30T12:00
yes,rossipresidente,2016-12-01T17:00
no,renatapolverini,2016-11-30T12:00
no,civati,2016-12-01T18:00
no,social_5stars,2016-11-30T18:00
yes,antgentile,2016-11-27T15:00
yes,RaffaelePizzati,2016-11-29T13:00
no,lega_nord,2016-11-30T19:00
yes,pdcampania,2016-12-01T18:00
no,civati,2016-12-01T12:00
yes,MarcoMariani_IT,2016-11-30T23:00
no,iovotono,2016-12-01T21:00
no,ElioLannutti,2016-12-01T15:00
no,Storace,2016-12-01T21:00
yes,SenatoriPD,2016-11-26T16:00
no,LegaNordPadania,2016-11-30T17:00
yes,MarcoMariani_IT,2016-11-30T20:00
yes,szampa56,2016-11-27T16:00
no,LegaNordPadania,2016-11-28T17:00
no,LegaNordPadania,2016-11-28T17:00
no,PaoloParentela,2016-11-28T18:00
no,beppe_grillo,2016-11-30T14:00
yes,Deputatipd,2016-11-30T11:00
no,lega_nord,2016-11-30T19:00
yes,fnicodemo,2016-11-28T16:00
yes,Deputatipd,2016-11-27T12:00
no,GiorgiaMeloni,2016-11-30T16:00
yes,dariofrance,2016-12-01T20:00
yes,AntonellaGramig,2016-11-27T23:00
yes,CarloSantaroni,2016-11-30T21:00
yes,valeriafedeli,2016-12-01T07:00
yes,piccolapini,2016-12-01T18:00
no,iovotono,2016-11-28T09:00
no,FratellidItaIia,2016-11-28T09:00
no,LelloEsposito5,2016-11-26T22:00
yes,PdMilano,2016-11-29T01:00
yes,angealfa,2016-11-28T15:00
no,matteosalvinimi,2016-11-27T17:00
yes,MilaSpicola,2016-11-27T17:00
yes,danieledvpd,2016-11-26T15:00
no,FratellidItaIia,2016-11-27T12:00
yes,AnnaLeonardi1,2016-11-27T16:00
yes,ckyenge,2016-11-30T17:00
yes,pdcampania,2016-12-01T18:00
no,iovotono,2016-11-29T22:00
no,iovotono,2016-11-30T11:00
yes,danieledvpd,2016-12-01T21:00
no,luigidimaio,2016-11-27T21:00
no,EGardini,2016-11-29T11:00
yes,antgentile,2016-11-29T12:00
yes,danieledvpd,2016-11-30T14:00
yes,AntoDiMario,2016-11-28T08:00
no,luigidimaio,2016-11-29T13:00
no,giulianocossari,2016-11-28T08:00
yes,antgentile,2016-11-29T21:00
no,beppe_grillo,2016-11-30T14:00
yes,guerini_lorenzo,2016-12-01T21:00
yes,MarcoMariani_IT,2016-11-27T23:00
no,LelloEsposito5,2016-11-29T12:00
no,giulianocossari,2016-11-30T10:00
no,antonio_bordin,2016-11-27T16:00
no,iovotono,2016-11-27T15:00
yes,nzingaretti,2016-11-29T16:00
no,MassimoLeaderPD,2016-11-29T16:00
yes,emanuelefiano,2016-11-30T17:00
no,FratellidItaIia,2016-11-30T12:00
no,lega_nord,2016-11-28T12:00
yes,RaffaelePizzati,2016-11-29T13:00
no,renatapolverini,2016-12-01T18:00
no,elio_vito,2016-12-01T15:00
yes,AntonellaGramig,2016-11-29T22:00
no,LegaNordPadania,2016-11-30T17:00
no,civati,2016-12-01T14:00
yes,antgentile,2016-11-27T15:00
no,carlaruocco1,2016-12-01T07:00
no,renatobrunetta,2016-11-27T21:00
no,gasparripdl,2016-11-28T22:00
no,AntoLari1986,2016-12-02T09:00
yes,AnnaAscani,2016-11-29T16:00
no,GiuliaDiVita,2016-11-30T10:00
yes,andreademaria_,2016-11-29T21:00
yes,Deputatipd,2016-11-27T15:00
no,forza_italia,2016-12-02T11:00
no,lega_nord,2016-12-02T11:00
yes,ivanscalfarotto,2016-11-26T15:00
yes,szampa56,2016-12-02T08:00
no,lega_nord,2016-12-02T11:00
no,renatapolverini,2016-12-01T18:00
no,LelloEsposito5,2016-11-29T20:00
no,renatapolverini,2016-12-01T12:00
no,lega_nord,2016-11-28T18:00
no,iovotono,2016-11-28T08:00
no,forza_italia,2016-12-02T09:00
no,LegaNordPadania,2016-11-28T12:00
no,LegaNordPadania,2016-12-02T08:00
no,Capezzone,2016-11-29T19:00
no,iovotono,2016-12-01T20:00
yes,pdcampania,2016-12-01T18:00
no,LegaNordPadania,2016-12-01T20:00
yes,danieledvpd,2016-12-01T21:00
no,LegaNordPadania,2016-11-28T20:00
no,giulianocossari,2016-12-01T14:00
yes,danielecina,2016-11-27T11:00
yes,AnnaLeonardi1,2016-11-30T11:00
no,Carlo_Martelli,2016-11-28T17:00
yes,ErasmoDAngelis,2016-11-29T21:00
no,ElioLannutti,2016-11-30T20:00
yes,danieledvpd,2016-11-26T15:00
yes,danieledvpd,2016-11-28T19:00
yes,MarcoMariani_IT,2016-11-30T19:00
no,renatapolverini,2016-12-01T18:00
no,gasparripdl,2016-11-26T15:00
yes,MarcoMariani_IT,2016-12-01T21:00
no,GruppoFICamera,2016-11-30T12:00
no,LelloEsposito5,2016-11-29T20:00
no,Storace,2016-11-28T12:00
no,cla_cominardi,2016-11-29T21:00
yes,PietroBussolati,2016-11-28T08:00
yes,danieledvpd,2016-11-30T14:00
no,AndCol81,2016-11-27T16:00
yes,AntoDiMario,2016-11-28T08:00
yes,MarcoMariani_IT,2016-11-29T11:00
no,iovotono,2016-11-28T08:00
yes,danieledvpd,2016-11-30T14:00
no,forza_italia,2016-12-02T11:00
no,lega_nord,2016-11-29T22:00
yes,boccadutri,2016-12-02T15:00
yes,fnicodemo,2016-11-29T16:00
no,gianfranco_fini,2016-11-29T17:00
yes,MarcoMariani_IT,2016-11-29T19:00
yes,ckyenge,2016-12-01T18:00
no,MassimoLeaderPD,2016-12-01T21:00
yes,lucianonobili,2016-11-27T15:00
yes,PdMilano,2016-11-29T01:00
no,AlemannoTW,2016-12-01T23:00
no,lega_nord,2016-11-28T17:00
no,TiziCip,2016-11-27T00:00
yes,CarloSantaroni,2016-11-26T18:00
yes,MilaSpicola,2016-11-26T21:00
no,GruppoFICamera,2016-11-30T12:00
no,forza_italia,2016-11-29T22:00
yes,AntoDiMario,2016-12-02T08:00
no,renatobrunetta,2016-12-01T14:00
yes,ivanscalfarotto,2016-11-30T20:00
yes,danielecina,2016-11-27T21:00
yes,PdMilano,2016-11-29T01:00
yes,Deputatipd,2016-11-30T11:00
no,iovotono,2016-12-01T20:00
yes,ErasmoDAngelis,2016-11-30T23:00
no,F_DUva,2016-11-29T22:00
no,giamma71,2016-12-01T09:00
yes,danielecina,2016-11-27T23:00
no,iovotono,2016-11-30T21:00
yes,fnicodemo,2016-11-28T17:00
yes,antgentile,2016-11-28T22:00
no,TiziCip,2016-11-29T21:00
no,Storace,2016-12-01T21:00
yes,Giorgiolaporta,2016-11-28T18:00
yes,RaffaelePizzati,2016-11-29T13:00
yes,rossipresidente,2016-12-01T17:00
yes,ivanscalfarotto,2016-12-01T21:00
yes,fabriziobarca,2016-11-27T20:00
yes,AnnaAscani,2016-12-02T11:00
yes,szampa56,2016-12-02T08:00
yes,lorenzabo,2016-11-27T16:00
no,LegaNordPadania,2016-11-29T19:00
yes,andreademaria_,2016-12-01T18:00
no,iovotono,2016-12-02T08:00
no,lucatelese,2016-11-30T19:00
no,antonio_bordin,2016-12-02T06:00
yes,pdnetwork,2016-11-30T12:00
yes,SenatoriPD,2016-11-26T16:00
yes,danieledvpd,2016-11-28T19:00
no,renatobrunetta,2016-11-30T12:00
no,GiuliaDiVita,2016-11-28T23:00
no,lega_nord,2016-11-29T21:00
no,antonio_bordin,2016-11-27T20:00
no,GabriGiammanco,2016-11-27T17:00
yes,ElisabScalambra,2016-11-29T16:00
no,lega_nord,2016-12-02T15:00
yes,ErasmoDAngelis,2016-11-29T21:00
yes,ivanscalfarotto,2016-11-26T15:00
yes,aureliomancuso,2016-11-29T16:00
no,LelloEsposito5,2016-11-28T09:00
no,iovotono,2016-11-28T08:00
no,LegaNordPadania,2016-11-28T17:00
no,lega_nord,2016-11-29T21:00
no,RobertoMaroni_,2016-11-29T21:00
no,antoniopalmieri,2016-12-01T17:00
no,iovotono,2016-12-01T21:00
yes,MarcoMariani_IT,2016-11-28T21:00
no,renatobrunetta,2016-11-27T12:00
no,forza_italia,2016-12-02T09:00
no,AngeloTofalo,2016-12-01T18:00
yes,CarloSantaroni,2016-12-02T15:00
yes,danieledvpd,2016-11-28T19:00
no,iovotono,2016-11-26T20:00
yes,danieledvpd,2016-11-30T14:00
yes,CarloSantaroni,2016-11-29T21:00
no,LelloEsposito5,2016-11-29T20:00
no,lega_nord,2016-11-29T21:00
no,lega_nord,2016-12-02T15:00
yes,bendellavedova,2016-11-29T23:00
no,lega_nord,2016-11-29T21:00
no,antonio_bordin,2016-12-01T14:00
yes,AntoDiMario,2016-11-28T08:00
yes,szampa56,2016-12-02T08:00
yes,Deputatipd,2016-11-30T11:00
yes,Deputatipd,2016-11-27T12:00
yes,nzingaretti,2016-11-30T16:00
yes,Deputatipd,2016-11-27T15:00
no,renatobrunetta,2016-11-28T08:00
yes,danieledvpd,2016-11-26T15:00
yes,PdMilano,2016-11-29T01:00
no,LelloEsposito5,2016-11-28T09:00
yes,danieledvpd,2016-12-01T21:00
no,PatriziaTerzoni,2016-12-01T09:00
yes,danieledvpd,2016-12-01T21:00
no,M_Fedriga,2016-12-01T09:00
no,ElioLannutti,2016-12-01T21:00
no,LelloEsposito5,2016-11-28T15:00
no,lega_nord,2016-12-01T20:00
no,Mov5Stelle,2016-11-29T10:00
yes,RaffaelePizzati,2016-11-29T01:00
yes,aureliomancuso,2016-11-29T22:00
yes,CarloSantaroni,2016-12-01T15:00
yes,danieledvpd,2016-11-28T19:00
yes,MarcoMariani_IT,2016-11-28T21:00
no,lega_nord,2016-12-01T20:00
yes,AnnaLeonardi1,2016-12-01T14:00
yes,RaffaelePizzati,2016-11-29T13:00
yes,CarloSantaroni,2016-12-01T18:00
no,civati,2016-11-29T20:00
no,forza_italia,2016-12-02T08:00
